"IdConcepto","IdCategoria","PorcentajeAgua","PorcentajeAlcantarilla","AplicaParaDescuento"
"2","1","0.6","0","S"
"3","1","0.05","0","N"
"4","1","0.02","0.02","N"
"2","2","0.6","0","S"
"3","2","0.05","0","N"
"4","2","0.02","0.02","N"
"2","3","0.7","0","S"
"3","3","0.05","0","N"
"4","3","0.02","0.02","N"
"2","4","0.6","0","S"
"3","4","0.05","0","N"
"4","4","0.02","0.02","N"
"2","6","0.6","0","S"
"3","6","0.05","0","N"
"4","6","0.02","0.02","N"
"2","8","0.6","0","S"
"3","8","0.05","0","N"
"4","8","0.02","0.02","N"
